energy_eV,delta_Im_epsilon
4.839999999999999858e+00,2.244784832490260271e+02
4.850000000000000533e+00,2.125871659684181907e+02
4.860000000000000320e+00,1.858844621959153471e+02
4.870000000000000107e+00,1.450936114738538834e+02
4.879999999999999893e+00,9.175539248457920394e+01
4.889999999999999680e+00,2.815120611899368797e+01
4.900000000000000355e+00,-4.281896538697667154e+01
4.910000000000000142e+00,-1.177965883076084026e+02
4.919999999999999929e+00,-1.931530214627306918e+02
4.929999999999999716e+00,-2.651949555577617161e+02
4.940000000000000391e+00,-3.303743053472830411e+02
4.950000000000000178e+00,-3.854896870679891094e+02
4.959999999999999964e+00,-4.278671129179138575e+02
4.969999999999999751e+00,-4.555088296024578085e+02
4.980000000000000426e+00,-4.672012377621364863e+02
4.990000000000000213e+00,-4.625754242956043072e+02
5.000000000000000000e+00,-4.421168516254627434e+02
5.009999999999999787e+00,-4.071239799325870194e+02
5.020000000000000462e+00,-3.596188381983415070e+02
5.030000000000000249e+00,-3.022155944394499443e+02
5.040000000000000036e+00,-2.379558050769152828e+02
5.049999999999999822e+00,-1.701210751516250639e+02
5.060000000000000497e+00,-1.020352009797210826e+02
5.070000000000000284e+00,-3.686840858298358370e+01
5.080000000000000071e+00,2.254398763595080979e+01
5.089999999999999858e+00,7.385727742723173606e+01
5.100000000000000533e+00,1.153379949123088863e+02
5.110000000000000320e+00,1.459425300774728953e+02
5.120000000000000107e+00,1.653495970496209679e+02
5.129999999999999893e+00,1.739455453619096090e+02
5.139999999999999680e+00,1.727646287078545129e+02
5.150000000000000355e+00,1.633892897941514661e+02
5.160000000000000142e+00,1.478180821178595465e+02
5.169999999999999929e+00,1.283108597689495696e+02
5.179999999999999716e+00,1.072221939816831906e+02
5.190000000000000391e+00,8.683453761392092929e+01
5.200000000000000178e+00,6.920242716018331919e+01
5.209999999999999964e+00,5.601801274734179259e+01
5.219999999999999751e+00,4.850651931966640973e+01
5.230000000000000426e+00,4.735799345119692561e+01
5.240000000000000213e+00,5.269904425341803744e+01
5.250000000000000000e+00,6.410543384717412607e+01
5.259999999999999787e+00,8.065351518082826487e+01
5.270000000000000462e+00,1.010058526617684009e+02
5.280000000000000249e+00,1.235240777296528591e+02
5.290000000000000036e+00,1.464002814036827544e+02
5.299999999999999822e+00,1.677971432473918014e+02
5.310000000000000497e+00,1.859866076863805517e+02
5.320000000000000284e+00,1.994772588891140970e+02
5.330000000000000071e+00,2.071215769199143324e+02
5.339999999999999858e+00,2.081958941704634469e+02
5.350000000000000533e+00,2.024479837803380349e+02
5.360000000000000320e+00,1.901096403803522890e+02
5.370000000000000107e+00,1.718741775395974685e+02
5.379999999999999893e+00,1.488412786626628588e+02
5.389999999999999680e+00,1.224339187601982815e+02
5.400000000000000355e+00,9.429396360060667348e+01
5.410000000000000142e+00,6.616442179593258288e+01
5.419999999999999929e+00,3.976708626867953456e+01
