energy_eV,delta_vs_alpha02,delta_vs_same_alpha
3.339999999999999858e+00,-9.951316327391863581e+01,-3.253639494203557803e+00
3.350000000000000089e+00,-9.906171479096809662e+01,-4.754490236509642642e+00
3.359999999999999876e+00,-9.701300506900376774e+01,-6.332497258816808028e+00
3.370000000000000107e+00,-9.336366122765758746e+01,-7.985539319719389795e+00
3.379999999999999893e+00,-8.816425409871121133e+01,-9.709908587354632914e+00
3.390000000000000124e+00,-8.151807633239369011e+01,-1.149992163770482989e+01
3.399999999999999911e+00,-7.357748192144198640e+01,-1.334762790333708438e+01
3.410000000000000142e+00,-6.453795345475477063e+01,-1.524262436987133640e+01
3.419999999999999929e+00,-5.463019144878250444e+01,-1.717198290789655601e+01
3.430000000000000160e+00,-4.411063071943327429e+01,-1.912029424369508490e+01
3.439999999999999947e+00,-3.325087500949070574e+01,-2.106982995946682280e+01
3.450000000000000178e+00,-2.232659765695929366e+01,-2.300082085142899757e+01
3.459999999999999964e+00,-1.160647963432399621e+01,-2.489184631601826680e+01
3.470000000000000195e+00,-1.341745652671406219e+00,-2.672032514372512679e+01
3.479999999999999982e+00,8.243184697107096781e+00,-2.846309327058042982e+01
3.490000000000000213e+00,1.695848735437323285e+01,-3.009704889868670818e+01
3.500000000000000000e+00,2.465482058532254683e+01,-3.159984030336917726e+01
3.510000000000000231e+00,3.122707925372603910e+01,-3.295056704582206919e+01
3.520000000000000018e+00,3.661591418070295134e+01,-3.413046171114115168e+01
3.530000000000000249e+00,4.080704277556301918e+01,-3.512351719903013247e+01
3.540000000000000036e+00,4.382849955892899629e+01,-3.591702445938692279e+01
3.550000000000000266e+00,4.574608396646858921e+01,-3.650198772620441900e+01
3.560000000000000053e+00,4.665735149734649667e+01,-3.687338893651825344e+01
3.570000000000000284e+00,4.668455797330552315e+01,-3.703028010108344859e+01
3.580000000000000071e+00,4.596700234879905622e+01,-3.697569167171468507e+01
3.589999999999999858e+00,4.465322009218210297e+01,-3.671635595413634690e+01
3.600000000000000089e+00,4.289345757128131709e+01,-3.626225666793134650e+01
3.609999999999999876e+00,4.083281091655020134e+01,-3.562602801702576016e+01
3.620000000000000107e+00,3.860534489677586123e+01,-3.482223816252622584e+01
3.629999999999999893e+00,3.632942405467321123e+01,-3.386660181352576870e+01
3.640000000000000124e+00,3.410439612877559767e+01,-3.277517385383089277e+01
3.649999999999999911e+00,3.200867334905045425e+01,-3.156357972496221720e+01
3.660000000000000142e+00,3.009916705813770221e+01,-3.024633812622156626e+01
3.669999999999999929e+00,2.841195114518928477e+01,-2.883632719018839907e+01
3.680000000000000160e+00,2.696396480252043304e+01,-2.734443669142606126e+01
3.689999999999999947e+00,2.575551859283305589e+01,-2.577943643737761903e+01
3.700000000000000178e+00,2.477334167210051774e+01,-2.414807549967110134e+01
3.709999999999999964e+00,2.399390256945449806e+01,-2.245540939604408948e+01
3.720000000000000195e+00,2.338674995165563786e+01,-2.070533398552934301e+01
