itt,time_au,time_as,para_z,dia_z,total_z
274,5.4800000000,132.5548610925,-1.089651000000e-04,6.063313000000e-05,-4.833201000000e-05
275,5.5000000000,133.0386379578,-1.121769000000e-04,6.063313000000e-05,-5.154375000000e-05
276,5.5200000000,133.5224148231,-1.153719000000e-04,6.063313000000e-05,-5.473872000000e-05
277,5.5400000000,134.0061916884,-1.185498000000e-04,6.063313000000e-05,-5.791668000000e-05
278,5.5600000000,134.4899685537,-1.217105000000e-04,6.063313000000e-05,-6.107738000000e-05
279,5.5800000000,134.9737454190,-1.248537000000e-04,6.063313000000e-05,-6.422058000000e-05
280,5.6000000000,135.4575222843,-1.279791000000e-04,6.063313000000e-05,-6.734601000000e-05
281,5.6200000000,135.9412991496,-1.310866000000e-04,6.063313000000e-05,-7.045342000000e-05
282,5.6400000000,136.4250760149,-1.341757000000e-04,6.063313000000e-05,-7.354255000000e-05
283,5.6600000000,136.9088528802,-1.372463000000e-04,6.063313000000e-05,-7.661312000000e-05
284,5.6800000000,137.3926297455,-1.402980000000e-04,6.063313000000e-05,-7.966488000000e-05
285,5.7000000000,137.8764066108,-1.433307000000e-04,6.063313000000e-05,-8.269753000000e-05
286,5.7200000000,138.3601834761,-1.463439000000e-04,6.063313000000e-05,-8.571079000000e-05
287,5.7400000000,138.8439603414,-1.493375000000e-04,6.063313000000e-05,-8.870438000000e-05
288,5.7600000000,139.3277372067,-1.523111000000e-04,6.063313000000e-05,-9.167801000000e-05
289,5.7800000000,139.8115140720,-1.552645000000e-04,6.063313000000e-05,-9.463136000000e-05
290,5.8000000000,140.2952909373,-1.581973000000e-04,6.063313000000e-05,-9.756413000000e-05
291,5.8200000000,140.7790678026,-1.611091000000e-04,6.063313000000e-05,-1.004760000000e-04
292,5.8400000000,141.2628446679,-1.639998000000e-04,6.063313000000e-05,-1.033667000000e-04
293,5.8600000000,141.7466215332,-1.668689000000e-04,6.063313000000e-05,-1.062358000000e-04
294,5.8800000000,142.2303983985,-1.697161000000e-04,6.063313000000e-05,-1.090830000000e-04
